"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",85.194,710.320717255717,672.795388601036,594.001193548387,1,0,0,1,0,0,0,"Chaperone","HSP104",1,481,193,31,24.037,677.235172557173,179.41074611399,65.5044193548387,85.194,710.320717255717,672.795388601036,594.001193548387
"2",NA,207.183964757709,199.922764285714,244.556888888889,0,1,0,0,0,0,0,"Chaperone","HSP78",NA,227,140,18,NA,658.696114537445,171.746992857143,64.1047222222222,NA,207.183964757709,199.922764285714,244.556888888889
"3",NA,38.0215068965517,40.5398552631579,43.19995,0,1,0,0,0,0,0,"Chaperone","MCX1",NA,290,152,40,NA,716.939565517241,168.577368421053,55.730975,NA,38.0215068965517,40.5398552631579,43.19995
"4",NA,273.744090909091,266.340625,222.702790123457,0,0,0,1,0,0,0,"DNA-related","RVB1",NA,396,144,81,NA,697.384732323232,166.559243055556,52.1560617283951,NA,273.744090909091,266.340625,222.702790123457
"5",NA,212.533575875486,201.018306930693,196.362204081633,0,0,0,1,0,0,0,"DNA-related","RVB2",NA,257,202,49,NA,729.959451361868,164.264866336634,65.6132857142857,NA,212.533575875486,201.018306930693,196.362204081633
"6",4.447,13.274435530086,15.1908228782288,16.4994383561644,0,0,1,0,0,0,0,"Chaperone","CNE1",1,349,271,73,372.046,706.902667621776,173.656959409594,54.6896164383562,4.447,13.274435530086,15.1908228782288,16.4994383561644
"7",NA,278.217544927536,288.850448979592,265.253904761905,0,0,0,0,0,1,0,"Chaperone","TCP1",NA,345,98,42,NA,648.159634782609,182.998132653061,59.8100476190476,NA,278.217544927536,288.850448979592,265.253904761905
"8",22.76,8.73296842105263,12.2400502512563,40.1644285714286,1,0,0,0,0,0,0,"Chaperone","CCT2",1,190,199,21,2497.825,723.830584210526,176.182487437186,74.4272857142857,22.76,8.73296842105263,12.2400502512563,40.1644285714286
"9",NA,58.3698712643678,65.5063988095238,83.0658333333333,1,0,0,0,0,0,0,"Chaperone","CCT3",NA,435,168,30,NA,726.847367816092,185.000053571429,79.1946,NA,58.3698712643678,65.5063988095238,83.0658333333333
"10",62.323,164.177691823899,174.505656716418,154.324129032258,1,0,0,0,0,0,0,"Chaperone","CCT4",1,159,67,31,113.119,531.647182389937,138.58623880597,53.4220322580645,62.323,164.177691823899,174.505656716418,154.324129032258
"11",98.496,245.861190647482,257.763898305085,213.651666666667,1,0,0,0,0,0,0,"Chaperone","CCT5",1,278,118,36,451.389,721.714392086331,198.003228813559,57.5704166666667,98.496,245.861190647482,257.763898305085,213.651666666667
"12",79.284,9.86413813229572,14.0942264150943,24.3004545454545,1,0,0,0,0,0,0,"Chaperone","CCT6",2,514,106,22,431.0835,676.402857976654,193.142566037736,74.9598636363636,79.284,9.86413813229572,14.0942264150943,24.3004545454545
"13",NA,1052.94741269841,941.280940740741,1123.48747580645,0,1,0,0,0,0,0,"Chaperone","HSP10",NA,252,135,248,NA,687.602944444444,182.831385185185,66.6784314516129,NA,1052.94741269841,941.280940740741,1123.48747580645
"14",NA,14.4657027027027,19.675328358209,19.7466666666667,1,1,0,1,0,0,0,"Chaperone","APJ1",NA,296,134,36,NA,706.90764527027,176.277470149254,56.5429444444444,NA,14.4657027027027,19.675328358209,19.7466666666667
"15",28.064,136.331122969838,131.471785234899,118.281421052632,1,0,0,1,0,0,0,"Chaperone","CAJ1",1,431,149,38,151.612,691.678584686775,180.088308724832,52.8964210526316,28.064,136.331122969838,131.471785234899,118.281421052632
"16",6.643,20.6741116751269,19.2956363636364,13.1028301886792,0,0,0,1,0,0,0,"RNA-related","CWC23",1,394,165,53,12.946,676.252030456853,173.076509090909,50.2456226415094,6.643,20.6741116751269,19.2956363636364,13.1028301886792
"17",NA,162.98204,145.240791666667,139.2352,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",NA,350,240,50,NA,698.645785714286,164.610016666667,56.10294,NA,162.98204,145.240791666667,139.2352
"18",68.301,31.9628183632735,25.0616573426573,22.6224375,0,0,1,0,0,0,0,"Folding-related","ERJ5",1,501,143,32,3571.817,692.150203592814,171.95413986014,51.56128125,68.301,31.9628183632735,25.0616573426573,22.6224375
"19",97.03,30.653146953405,41.463226744186,57.9193703703704,0,0,1,0,0,0,0,"Chaperone","HLJ1",1,279,172,27,1692.501,680.930541218638,180.807081395349,68.573,97.03,30.653146953405,41.463226744186,57.9193703703704
"20",17.824,16.9981805555556,21.865344,14.3189166666667,0,1,0,0,0,0,0,"Chaperone","JAC1",1,432,125,12,363.682,712.087143518518,177.960688,62.9621666666667,17.824,16.9981805555556,21.865344,14.3189166666667
"21",NA,40.2750444049734,43.7191602564103,49.9073636363636,0,0,1,0,0,0,0,"Chaperone","JEM1",NA,563,156,22,NA,671.669865008881,177.564948717949,65.2603636363636,NA,40.2750444049734,43.7191602564103,49.9073636363636
"22",NA,13.4462692307692,13.3496115702479,25.9457878787879,0,1,0,0,0,0,0,"Chaperone","JID1",NA,598,121,33,NA,686.701516722408,194.810958677686,73.9673333333333,NA,13.4462692307692,13.3496115702479,25.9457878787879
"23",75.597,19.5579388145315,21.2946666666667,22.528037037037,1,1,0,0,0,0,0,"Chaperone","JJJ1",1,523,120,27,1204.313,661.326143403442,193.444858333333,57.2261851851852,75.597,19.5579388145315,21.2946666666667,22.528037037037
